Time,Source,Destination,Protocol,Length,Label
89.598121,10.0.0.2,10.0.0.6,TCP,2962,0
89.63979,10.0.0.2,10.0.0.6,TCP,2962,0
89.642289,10.0.0.2,10.0.0.6,TCP,2962,0
89.684521,10.0.0.2,10.0.0.6,TCP,2962,0
89.686805,10.0.0.2,10.0.0.6,TCP,2962,0
89.728953,10.0.0.2,10.0.0.6,TCP,2962,0
89.731466,10.0.0.2,10.0.0.6,TCP,2962,0
89.773555,10.0.0.2,10.0.0.6,TCP,2962,0
89.776003,10.0.0.2,10.0.0.6,TCP,2962,0
89.818145,10.0.0.2,10.0.0.6,TCP,2962,0
89.820602,10.0.0.2,10.0.0.6,TCP,2962,0
89.865572,10.0.0.2,10.0.0.6,TCP,2962,0
